Date,Close/Last,Volume,Open,High,Low
06/02/2015,2448.22,--,2451.38,2460.15,2440.46
06/01/2015,2460.12,--,2464.06,2466.67,2444.01
05/29/2015,2449.37,--,2461.68,2468.15,2443.33
05/28/2015,2458.68,--,2455.43,2467.48,2450.48
05/27/2015,2456.23,--,2403.53,2461.40,2400.80
05/26/2015,2399.01,--,2420.49,2421.11,2389.31
05/25/2015,2427.45,--,0.00,0.00,0.00
05/22/2015,2427.45,--,2420.62,2435.45,2420.62
05/21/2015,2421.41,--,2407.42,2425.71,2402.22
05/20/2015,2416.38,--,2415.25,2432.42,2411.39
05/19/2015,2412.82,--,2428.86,2433.35,2410.77
05/18/2015,2425.36,--,2414.09,2427.94,2407.39
05/15/2015,2412.26,--,2424.05,2429.91,2409.31
05/14/2015,2420.23,--,2402.62,2423.01,2401.34
05/13/2015,2385.79,--,2377.91,2396.34,2377.73
05/12/2015,2372.92,--,2376.63,2384.39,2356.91
05/11/2015,2387.70,--,2389.77,2397.73,2386.72
05/08/2015,2394.23,--,2387.02,2400.76,2385.91
05/07/2015,2373.69,--,2362.76,2378.53,2359.33
05/06/2015,2356.29,--,2374.47,2380.92,2341.29
05/05/2015,2368.50,--,2397.56,2400.30,2364.57
05/04/2015,2410.85,--,2413.63,2420.55,2409.09
05/01/2015,2409.84,--,2387.48,2412.31,2386.59
04/30/2015,2370.22,--,2386.05,2395.70,2358.60
04/29/2015,2398.84,--,2391.29,2408.20,2381.18
04/28/2015,2414.18,--,2409.08,2420.25,2390.22
04/27/2015,2408.55,--,2411.18,2426.57,2404.11
04/24/2015,2409.60,--,2423.69,2423.69,2403.56
04/23/2015,2418.66,--,2403.20,2430.17,2402.81
04/22/2015,2427.20,--,2417.89,2429.53,2401.91
04/21/2015,2407.74,--,2420.55,2425.02,2402.14
04/20/2015,2394.46,--,2378.23,2400.74,2377.90
04/17/2015,2366.25,--,2375.89,2379.41,2359.19
04/16/2015,2398.38,--,2390.07,2401.02,2388.70
04/15/2015,2406.37,--,2389.75,2413.52,2389.71
04/14/2015,2380.41,--,2387.71,2391.65,2368.57
04/13/2015,2388.12,--,2404.18,2413.43,2387.12
04/10/2015,2405.19,--,2387.62,2405.43,2386.78
04/09/2015,2393.45,--,2365.54,2394.72,2364.14
04/08/2015,2372.97,--,2353.50,2377.76,2353.19
04/07/2015,2354.05,--,2353.28,2372.52,2352.88
04/06/2015,2355.06,--,2319.14,2359.26,2316.24
04/03/2015,2342.56,--,0.00,0.00,0.00
04/02/2015,2342.56,--,2342.82,2356.38,2337.76
04/01/2015,2342.71,--,2342.76,2349.03,2325.90
03/31/2015,2352.36,--,2364.15,2369.48,2351.73
03/30/2015,2378.89,--,2370.59,2380.99,2359.50
03/27/2015,2340.35,--,2305.25,2346.19,2296.03
03/26/2015,2304.00,--,2279.86,2317.11,2272.73
03/25/2015,2321.08,--,2400.01,2400.75,2320.22
03/24/2015,2401.92,--,2418.08,2422.96,2401.83
03/23/2015,2418.34,--,2430.20,2431.37,2418.34
03/20/2015,2431.81,--,2426.58,2438.29,2419.28
03/19/2015,2407.73,--,2401.00,2413.03,2397.52
03/18/2015,2400.89,--,2368.51,2412.05,2355.79
03/17/2015,2376.42,--,2370.92,2381.05,2364.03
03/16/2015,2384.35,--,2364.14,2385.59,2362.56
03/13/2015,2350.33,--,2351.03,2358.82,2332.11
03/12/2015,2352.49,--,2327.31,2353.33,2327.12
03/11/2015,2341.03,--,2350.24,2360.37,2339.29
03/10/2015,2345.51,--,2369.98,2374.07,2345.51
03/09/2015,2389.56,--,2385.42,2394.14,2380.54
03/06/2015,2383.28,--,2407.27,2411.85,2378.84
03/05/2015,2416.27,--,2409.99,2420.53,2403.05
03/04/2015,2405.29,--,2399.34,2407.31,2383.29
03/03/2015,2409.77,--,2435.57,2436.65,2405.90
03/02/2015,2450.27,--,2426.34,2450.27,2423.57
02/27/2015,2411.99,--,2417.49,2425.26,2410.51
02/26/2015,2417.68,--,2418.27,2427.54,2407.36
02/25/2015,2406.32,--,2410.55,2415.55,2400.79
02/24/2015,2414.45,--,2397.98,2415.90,2388.83
02/23/2015,2403.95,--,2415.36,2415.48,2395.96
02/20/2015,2417.90,--,2394.55,2419.02,2388.89
02/19/2015,2398.97,--,2385.46,2400.66,2383.01
02/18/2015,2387.71,--,2382.81,2392.52,2376.11
02/17/2015,2394.76,--,2390.80,2395.04,2380.58
02/16/2015,2394.36,--,0.00,0.00,0.00
02/13/2015,2394.36,--,2379.41,2394.36,2379.19
02/12/2015,2372.83,--,2344.55,2372.91,2343.74
02/11/2015,2334.59,--,2326.89,2341.06,2323.85
02/10/2015,2327.51,--,2296.97,2329.04,2289.08
02/09/2015,2281.18,--,2281.47,2291.09,2275.12
02/06/2015,2290.92,--,2304.13,2318.59,2284.00
02/05/2015,2303.32,--,2293.48,2304.17,2284.99
02/04/2015,2286.83,--,2278.40,2301.97,2278.36
02/03/2015,2280.50,--,2251.26,2280.96,2248.74
02/02/2015,2243.15,--,2236.37,2246.61,2194.16
01/30/2015,2229.54,--,2252.97,2270.01,2227.06
01/29/2015,2271.71,--,2248.55,2276.40,2232.14
01/28/2015,2254.95,--,2306.61,2310.86,2254.95
01/27/2015,2278.09,--,2298.13,2301.41,2265.65
01/26/2015,2333.05,--,2331.14,2336.75,2315.04
01/23/2015,2343.30,--,2335.30,2351.49,2330.95
01/22/2015,2344.62,--,2315.07,2347.86,2285.60
01/21/2015,2317.68,--,2296.33,2325.21,2290.08
01/20/2015,2306.42,--,2304.39,2314.56,2279.77
01/19/2015,2292.43,--,0.00,0.00,0.00
01/16/2015,2292.43,--,2254.76,2294.39,2248.32
01/15/2015,2257.67,--,2295.80,2302.62,2255.92
01/14/2015,2285.53,--,2276.36,2300.10,2263.55
01/13/2015,2298.74,--,2334.19,2359.21,2282.30
01/12/2015,2314.40,--,2341.58,2343.46,2305.16
01/09/2015,2350.07,--,2359.96,2368.66,2331.98
01/08/2015,2354.94,--,2320.29,2359.81,2320.29
01/07/2015,2300.44,--,2291.59,2310.48,2284.14
01/06/2015,2283.38,--,2330.57,2330.61,2274.29
01/05/2015,2327.11,--,2354.90,2359.20,2321.57
